0.5.229         Fixes to get tap dance to fire at proper places (#2272)
0.5.23          send travis stuff to gitter
0.5.230         Add stm32 to drivers.txt
0.5.231         Re-add Flip Installer (#2355)
0.5.232         Send usb wakeup through ChibiOS
0.5.233         ARM audio fixes, stack size increase (#2365)
0.5.234         Change the CDC_NOTIFICATION_EPSIZE back to 8 from 32
0.5.235         Fix swedish NO_GRV
0.5.236         Move hexwire layout into 4x12 layout folder
0.5.237         Remap msys2 usb, fix USB port detection (#2301)
0.5.238         Update to drashna keymaps and userspace (#2450)
0.5.239         Add `SGUI()` and `SGUI_T()` for consistency with `KC_GUI` (#2442)
0.5.24          update travis badge
0.5.240         Fix the SGUI aliases
0.5.241         Add a newbie guide for people completely new to QMK (#2480)
0.5.242         layout(preonic): blake-newman's layout (#2483)
0.5.243         quantum: keympa_extra: add sendstring_bepo.h
0.5.244         Usb max power (#2502)
0.5.245         qwerty_code_friendly: minor updates (#2494)
0.5.246         XD75 keymap -  Germanized (#2441)
0.5.247         Add Viterbi fido keymap (#2454)
0.5.248         Add layout support for contra.
0.5.249         update to Ergodox / Atreus Dvorak 42 key layouts (#2504)
0.5.25          Merge pull request #1094 from priyadi/faux_clicky
0.5.250         layout(infinity ergodox): update dudeofawesome's layout (#2506)
0.5.251         layout(preonic): update to dudeofawesome's layout (#2507)
0.5.252         Add teensy revision folder for Orthodox Rev3 (#2510)
0.5.253         Add CMD and WIN aliases for KC_GUI, GUI(kc), GUI_T(kc), etc.
0.5.254         Fix audio issues with Split keyboards that missed previously
